iter	Passed	Remaining
413	3974	825
414	3984	816
415	3993	806
416	4002	796
417	4013	787
418	4023	777
419	4034	768
420	4045	759
421	4054	749
422	4065	740
423	4075	730
424	4085	720
425	4095	711
426	4105	701
427	4116	692
428	4126	682
429	4139	673
430	4154	665
431	4165	655
432	4178	646
433	4193	637
434	4203	628
435	4214	618
436	4226	609
437	4238	599
438	4251	590
439	4262	581
440	4273	571
441	4285	562
442	4299	553
443	4315	544
444	4329	535
445	4340	525
446	4352	516
447	4369	507
448	4383	497
449	4397	488
450	4412	479
451	4427	470
452	4441	460
453	4454	451
454	4468	441
455	4483	432
456	4498	423
457	4513	413
458	4527	404
459	4541	394
460	4556	385
461	4568	375
462	4583	366
463	4598	356
464	4613	347
465	4627	337
466	4643	328
467	4661	318
468	4677	309
469	4692	299
470	4704	289
471	4722	280
472	4737	270
473	4749	260
474	4764	250
475	4778	240
476	4789	230
477	4798	220
478	4809	210
479	4819	200
480	4829	190
481	4838	180
482	4846	170
483	4856	160
484	4865	150
485	4874	140
486	4882	130
487	4892	120
488	4901	110
489	4910	100
490	4918	90
491	4927	80
492	4937	70
493	4947	60
494	4960	50
495	4971	40
496	4980	30
497	4991	20
498	5002	10
499	5012	0
