iter	MultiClass
0	1.039397154
1	0.9938519927
2	0.9550989974
3	0.9226393384
4	0.8942061494
5	0.8697604847
6	0.8485333967
7	0.8290932709
8	0.8120992133
9	0.7976431632
10	0.7844418276
11	0.7735720558
12	0.7647923715
13	0.7551349554
14	0.7467054473
15	0.7382277021
16	0.7313752631
17	0.7254491643
18	0.7195695544
19	0.7152070034
20	0.7097377934
21	0.7063660291
22	0.7014040815
23	0.6985885406
24	0.696080643
25	0.6926388374
26	0.6897806777
27	0.6879400064
28	0.6856797436
29	0.6843977518
30	0.6818549193
31	0.680563403
32	0.6795982654
33	0.6776525055
34	0.6757721939
35	0.6741648173
36	0.6715082068
37	0.6704014753
38	0.6688723557
39	0.6671743226
40	0.666110626
41	0.6649439713
42	0.66395358
43	0.6624364605
44	0.6614218121
45	0.6607317751
46	0.6594619985
47	0.6586771669
48	0.6577806232
49	0.6572457519
50	0.6559613927
51	0.6546654045
52	0.6540472101
53	0.6530898329
54	0.6524984953
55	0.6517781054
56	0.6508574568
57	0.6503869605
58	0.649878954
59	0.6494178633
60	0.6482231303
61	0.6476011628
62	0.6469582758
63	0.6463510542
64	0.6457768168
65	0.6450539337
66	0.6443865551
67	0.6435786372
68	0.6431032075
69	0.6427742102
70	0.6423207553
71	0.6419017679
72	0.6415576717
73	0.6408808777
74	0.640272233
75	0.6399302435
76	0.6394004877
77	0.6390737958
78	0.6381020549
79	0.6379135142
80	0.6373334884
81	0.6369080049
82	0.6364489493
83	0.6358379594
84	0.6352530007
85	0.634578677
86	0.6341685867
87	0.63379663
88	0.6332260084
89	0.6327158675
90	0.6324153428
91	0.6319293409
92	0.6314666242
93	0.6312038086
94	0.6307717644
95	0.6302922745
96	0.6298039027
97	0.629248742
98	0.6286520172
99	0.6272873532
100	0.6268460361
101	0.6264469899
102	0.6258280768
103	0.625583649
104	0.6250345104
105	0.6244488309
106	0.6235944191
107	0.6232508819
108	0.6228200638
109	0.6221125707
110	0.621768017
111	0.6212413993
112	0.6207841909
113	0.6201840745
114	0.619530336
115	0.6189222494
116	0.6187530326
117	0.6183081888
118	0.6179210609
119	0.6173518932
120	0.6170284883
121	0.6166116639
122	0.6160953314
123	0.6152240175
124	0.6148835889
125	0.6146292504
126	0.6143359675
127	0.613972561
128	0.6135305124
129	0.612870945
130	0.6124007983
131	0.6119846955
132	0.6115904663
133	0.6111783718
134	0.6103604763
135	0.6099444354
136	0.6094789206
137	0.6090666774
138	0.6085944944
139	0.6082100662
140	0.6077976736
141	0.6073445713
142	0.6071241757
143	0.6063963291
144	0.6059895972
145	0.605453337
146	0.6048286749
147	0.6044356808
148	0.6039826189
149	0.6035193164
150	0.6032341828
151	0.6027613904
152	0.602251905
153	0.6017380941
154	0.601409659
155	0.6008640215
156	0.6004936979
157	0.6002533193
158	0.5999174395
159	0.5996198098
160	0.5989048271
161	0.5986330677
162	0.5983373558
163	0.5979320899
164	0.5975430324
165	0.5972417204
166	0.5969309289
167	0.5964886348
168	0.5959572082
169	0.5954794294
170	0.5951831517
171	0.5949188578
172	0.5946225203
173	0.5942369693
174	0.593837551
175	0.5935530794
176	0.5932851562
177	0.5928316291
178	0.5926499787
179	0.5923047001
180	0.5917599651
181	0.591301222
182	0.5909781172
183	0.5905800756
184	0.5902568927
185	0.5900635051
186	0.589138678
187	0.5888360156
188	0.5882073947
189	0.5877748631
190	0.5874901459
